=== full logs ===
captured: 2026-09-06T08:48:08.752Z

smart-ac-queue  | 2026-09-06T08:37:33.900848910Z 2026-09-06T08:37:33.900Z DEBUG [queue] send 1 -> telemetry
actuator-1      | 2026-09-06T08:47:00.634234875Z 2026-09-06T08:47:00.633Z INFO  [actuator] setpoint applied and published to edge {"topic":"zones/meeting-room/setpoint","decision_id":"DEC-1788684420361-7FFC80","zone":"meeting-room","target_temp":22,"fan":100,"emergency":true,"latencyFromDecisionMs":272}
actuator-1      | 2026-09-06T08:48:00.649424584Z 2026-09-06T08:48:00.649Z INFO  [actuator] setpoint applied and published to edge {"topic":"zones/meeting-room/setpoint","decision_id":"DEC-1788684480369-F94546","zone":"meeting-room","target_temp":26,"fan":18,"emergency":false,"latencyFromDecisionMs":280}
smart-ac-queue  | 2026-09-06T08:37:38.867298847Z 2026-09-06T08:37:38.867Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:37:38.891376327Z 2026-09-06T08:37:38.891Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:37:38.907778344Z 2026-09-06T08:37:38.907Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:37:43.878693730Z 2026-09-06T08:37:43.878Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:37:43.897276535Z 2026-09-06T08:37:43.896Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:37:43.915946859Z 2026-09-06T08:37:43.915Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:37:48.887304910Z 2026-09-06T08:37:48.887Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:37:48.906489400Z 2026-09-06T08:37:48.906Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:37:48.919351833Z 2026-09-06T08:37:48.919Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:37:53.899948905Z 2026-09-06T08:37:53.899Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:37:53.912649098Z 2026-09-06T08:37:53.912Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:37:53.929030349Z 2026-09-06T08:37:53.928Z DEBUG [queue] send 1 -> telemetry
